"id","category","notes","search_terms"
1,"Vandalism/Property Damage","","{vandalism,graffiti,deface,defacing,""spray paint"",tag,tagging,""property damage"",mischief,egg,""smashed window"",""structure damage"",destruction,wreckage,""broken window""}"
2,"Theft",,"{theft,steal,stolen,stealing,shoplift,shoplifting,rob,robbery,pickpocket,snatch,larceny}"
3,"Assault",,"{assault,attack,hit,hitting,beat,beating,strike,struck,punch,kick,slap,battery,jumped}"
4,"Burglary",,"{burglary,""break in"",""forced entry"",""illegal entry"",""unlawful entry"",""pry door"",""home invasion""}"
6,"Trespassing",,"{trespass,trespassing,""unauthorized entry"",""restricted area"",""refusing to leave"",""refuse to leave"",loiter}"
7,"Suspicious Activity",,"{suspicious,""suspicious person"",""suspicious vehicle"",strange,unusual,odd,questionable,lurking,casing,prowling,watching,stalking}"
8,"Public Disturbance",,"{""public disturbance"",disturbance,disorder,""disorderly conduct"",altercation,fight,brawl,yelling,screaming,commotion}"
9,"Noise Complaint",,"{""noise complaint"",loud,racket,music,party,shouting,banging,""construction noise""}"
10,"Drug Activity",,"{drug,narcotic,""illegal drug"",substance,overdose,trafficking,dealing,dealer,paraphernalia,intoxicated,impaired,dope,cannabis,marijuana}"
11,"Homeless Person",,"{homeless,unhoused,transient,vagrant,beggar,panhandling,encampment,""sleeping outside"",tent}"
12,"Public Safety Concern",,"{""public safety"",hazard,dangerous,unsafe,unsafe,""exposed wire"",""blocked exit"",slippery,""unsafe condition""}"
15,"Arson",,"{arson,fire,torch,burn,""set fire"",""intentionally lit"",ignited,""suspicious fire""}"
17,"Fraud",,"{fraud,scam,scammer,deception,phishing,impersonation,""identity theft"",forged,counterfeit,""false pretense""}"
18,"Vehicle Tampering/Damage",,"{""vehicle tampering"",""car damage"",""slashed tire"",""keyed car"",""broken window"",hotwire,siphoning}"
19,"Threatening Behaviour",,"{threat,threatening,menace,intimidation,bully,harassment,coercion,""verbal abuse"",""aggressive behavior""}"
20,"Threat Violence - Verbal",,"{""verbal threat"",threatened,intimidate,""hostile language"",""aggressive language""}"
21,"Weapon Related - Firearm",,"{gun,firearm,handgun,pistol,revolver,rifle,shotgun,semi-automatic,discharge,""fired shot""}"
22,"Weapon Related - Edged",,"{knife,blade,""edged weapon"",sword,machete,""box cutter"",razor,switchblade,stab}"
23,"Weapon Related - Other",,"{weapon,explosive,bomb,device,taser,baton,""blunt object"",molotov,""suspicious package""}"
24,"Deterrence","","{deter,deterrence,warning,caution,prevent,signage,patrol,""security presence"",monitoring,surveillance}"
25,"Violence","","{violence,""physical altercation"",fight,confrontation,aggressive,""domestic disturbance""}"
26,"Violence - Swarming","Multiple assailants working together to attack victim or victims","{swarming,""gang violence"",""group attack"",mob,""multiple attackers""}"
27,"Robbery - Swarming","Multiple assailants working together","{""swarming robbery"",""multiple assailants"",""group robbery"",""mob robbery""}"
28,"Apprehension","","{apprehension,arrest,detain,detained,""taken into custody"",restrain,restrained,handcuff,""escort out""}"
29,"OHS","","{""occupational health"",""occupational safety"",ohs,""workplace injury"",""compliance violation"",""unsafe practice"",ppe,""hazard assessment"",""workplace hazard""}"
30,"Other - See Details","","{""non specific"",other,miscellaneous,""see details"",""see notes""}"
31,"Suicide - Self Harm","","{suicide,self-harm,self-injury,cutting,overdose,self-mutilation,drowning,hanging,self-destructive,parasuicide,self-poisoning,self-immolation,""harm to oneself"",""suicide attempt""}"
